ID,Topic
0,Holidays and special observances
1,Voluntarism
2,"Presidency, U.S"
3,Addresses and Remarks
4,A
5,d
6,r
7,e
8,s
9, 
10,a
11,n
12,R
13,m
14,k
15,Notices
16,Statements by the President
17,Supplementary Materials
18,Arizona
19,Civil rights
20,Connecticut
21,Employment and unemployment
22,Energy
23,Environment
24,Health and medical care
25,"Justice, Department of"
26,Law enforcement and crime
27,Statements Other Than Presidential
28,Appointments and Nominations
29,Deaths
30,New York
31,"Budget, Federal"
32,Congress
33,"Legislation, proposed"
34,Taxation
35,"Armed Forces, U.S"
36,Business and industry
37,Communications
38,"Economy, national"
39,"Education, Department of"
40,Education
41,Elections
42,Iowa
43,Iraq
44,Science and technology
45,Transportation
46,Afghanistan
47,Aviation
48,Central Intelligence Agency
49,"Foreign policy, U.S"
50,Pakistan
51,Terrorism
52,White House Office
53,Yemen
54,Cabinet meetings
55,China
56,"Commerce, international"
57,Cuba
58,Immigration and naturalization
59,Judiciary
60,"Reserve System, Federal"
61,"Treasury, Department of the"
62,I
63,t
64,v
65,i
66,w
67,W
68,h
69,N
70,M
71,Ohio
72,Proclamations
73,"Defense, Department of"
74,"Legislation, enacted"
75,Social Security and retirement
76,Children and youth
77,Labor issues
78,Sudan
79,"Health and Human Services, Department of"
80,New Jersey
81,Executive Orders
82,Bill Signings
83,France
84,North Atlantic Treaty Organization
85,Russia
86,Syria
87,Turkey
88,"Defense, Department"
89,Missouri
90,Diseases
91,HIV/AIDS
92,"State, Department of"
93,United Nations
94,Pennsylvania
95,Africa
96,Developing countries
97,District of Columbia
98,George Washington University
99,Tanzania
100,Arms and munitions
101,Iran
102,North Korea
103,Nuclear weapons and material
104,Romania
105,Alaska
106,Defense and national security
107,Government organization and employees
108,"Health and Human Services, Department"
109,Republican Party
110,Veterans
111,Virginia
112,West Virginia
113,Wisconsin
114,Meetings With Foreign Leaders
115,Hungary
116,Interviews With the News Media
117,"Homeland Security, Department of"
118,"Decorations, medals, and awards"
119,"Energy, Department of"
120,Gulf of Mexico
121,"Science Foundation, National"
122,Consumer Finance  Protection Bureau
123,"Housing and Urban Development, Department of"
124,Housing
125,"African American History Month, National"
126,Social Security Administration
127,Agriculture
128,"NBC, ""Today"" program"
129,Sports
130,"Commerce, Department of"
131,World Trade Organization
132,"Community Service, Corporation for National and"
133,"Promise Alliance, America's"
134,Rhode Island
135,Kansas
136,Egypt
137,"Atomic Energy Agency, International (IAEA)"
138,Nigeria
139,Japan
140,Maryland
141,Middle East
142,"Transportation, Department of"
143,Health Care and Education Reconciliation Act of 2010
144,Maine
145,Small Business Administration
146,"Agriculture, Department of"
147,United Kingdom
148,Independent Community Bankers Association
149,Communications to Federal Agencies
150,Mettings With Foreign Leaders
151,"Lynch, Loretta E"
152,Massachusetts
153,Federal Communications Commission
154,"Housing Finance Agency, Federal"
155,Loyalty Day
156,Environmental Protection Agency
157,Philippines
158,Drug abuse and trafficking
159,Indiana
160,Trans-Pacific Partnership (TPP)
161,"Treasury, Department of"
162,Joint Statements
163,Europe
164,"Netherlands, the"
165,Ukraine
166,"BP Deepwater Horizon Oil Spill and Offshore Drilling, National Commission on the"
167,"Interior, Department of the"
168,Germany
169,Resignations and Retirements
170,Puerto Rico
171,Brazil
172,Natural disasters
173,"Cabinet, meeting with President"
174,"Management and Budget, Office of"
175,African Development Bank
176,Development banks and funds
177,"Development, U.S. Agency for International"
178,"Export-Import Bank, U.S"
179,Millennium Challenge Corporation
180,Overseas Private Investment Corporation (OPIC)
181,"Trade and Development Agency, U.S"
182,"Trade Representative, Office of the U.S., U.S. Trade Representative"
183,"Young African Leaders Initiative, President's"
184,South Dakota
185,"Labor, Department of"
186,Mexico
187,Democratic Party
188,"Medical Association, American"
189,Venezuela
190,Communications to Congress
191,Disabled American Veterans
192,Georgia
193,"Veterans Affairs, Department of"
194,Guatemala
195,Israel
196,Palestinian Authority and Palestinians
197,Sierra Leone
198,World Health Organization
199,Somalia
200,South Korea
201,Disaster assistance
202,Louisiana
203,Texas
204,Letters and Messages
205,"Midway Atoll, U.S"
206,"Papahnaumokukea Marine National Monument, expansion"
207,Jordan
208,Oregon
209,California
210,"Domestic Violence Awareness Month, National"
211,ABC
212,Administrative Conference of the United States
213,Alyce Spotted Bear and Walter Soboleff Commission on Native Children
214,"American Indian and Alaska Native Cultural and Arts Development, Institute of"
215,"American Indian and Alaska Native Culture Arts Development, Institute of"
216,"Archives and Records Administration, National"
217,Arts
218,"Cancer Advisory Board, National"
219,CBS
220,"Congo, U.S. Ambassador-designate"
221,Crooked Media
222,Cultural Property Advisory Committee
223,Cyprus
224,"Education Sciences, National Board for"
225,"Education Services, National Board for"
226,"Fitness, Sports, and Nutrition, President's Council on"
227,Florida
228,"Food and Agricultural Development, Board for International"
229,General Services Administration
230,Ghana
231,Hawaii
232,"Holocaust Memorial Council, U.S"
233,Illinois
234,India
235,"Infrastructure Advisory Council, National"
